,Square_loss_sum,Corr,Precision,Mean,Std,Skew,Kurt
2017-11-20,0.0003779503264795555,0.08814576393001913,0.5108695652173914,-0.0005187644165245525,0.006290180429504388,-1.0474661755495351,5.178995360666759
2017-11-21,0.0003673970918161583,-0.12447126508589315,0.4838709677419355,-0.00020091398584531193,0.004490652374404641,0.06917321493412228,0.9607351119391763
2017-11-22,0.000566226640808119,-0.29488289627511166,0.43617021276595747,-0.0002881537857601738,0.00580499016242023,-1.2641281348807734,8.006487188770533
2017-11-23,0.00023205432364915542,-0.026070992652916947,0.45263157894736844,9.262102729263349e-05,0.006516015162596054,4.2030503318973595,28.952157736141324
2017-11-24,0.0003845397000456209,-0.18789883729486861,0.5157894736842106,0.0001207161745420981,0.0043964211832282565,0.7331011254485192,0.7508226103272708
2017-11-27,0.00021778993490684806,-0.2421608605766752,0.4105263157894737,-0.0010634277192568535,0.0045457109033571344,0.16655220277976843,1.8411381177303743
2017-11-28,0.00017005112850364964,-0.05119843322802579,0.5684210526315789,-0.00015228823253258682,0.003992020399806001,0.518905708298396,0.8810514305156625
2017-11-29,0.00010527574664123393,-0.02161097399140613,0.4148936170212766,-0.0004849735205654275,0.004229929268639464,-0.13287110155558177,1.3265520171272347
2017-11-30,0.00042503329259840265,0.006215126110117243,0.5212765957446809,-9.253809392324359e-05,0.0033068074953888625,0.3644790298406929,1.4613866271131664
2017-12-01,0.00038267030490437285,0.19433354422238716,0.5638297872340425,-5.124866354877378e-06,0.003960087369216681,-0.26223514093503153,1.7454214338591583
2017-12-04,0.00042929205284005195,0.07376750889597795,0.6276595744680851,-0.0005435506161683431,0.004119023013022074,-0.31567866244347736,0.3353487900770431
2017-12-05,0.00027885625123003923,-0.06824322965298314,0.43617021276595747,0.00028999788808926766,0.005045208122487981,-0.14068900585396346,0.35529244800558857
2017-12-06,0.00024194732259701554,-0.1288042019333455,0.5161290322580645,-0.00024401707334025408,0.004555591474477654,-0.23647624619479363,1.6583043789369118
2017-12-07,0.00038651646631978226,-0.08568344102231223,0.43010752688172044,-0.00023400857130730448,0.0038972857277009237,-0.09215138654512149,1.698200905731142
2017-12-08,0.0003590510580941407,-0.04822963978353173,0.46808510638297873,-0.0004136932438303876,0.004690490956001428,-0.8989724723848616,3.778747807992635
2017-12-11,0.00027004551431442396,0.16573002392445008,0.5851063829787234,-0.0003486132187167939,0.004832822855552839,-0.5834296906084415,3.677194250571803
2017-12-12,0.00021439257584237467,-0.20565170280226724,0.45263157894736844,0.00010991508095454451,0.004427007943587853,-0.4739925039289586,1.8669440775023163
2017-12-13,0.00014253819523332148,-0.04432633961618616,0.5104166666666666,-6.882500096036083e-05,0.004026934187035745,-0.671902858287816,4.211228255200259
2017-12-14,0.00016996069377184933,0.0714635442865061,0.5208333333333334,0.00014392995745984724,0.0035587009173703417,0.1610424385599768,0.2772495538435469
2017-12-15,0.0003476239559537673,-0.168343389534129,0.4479166666666667,-0.0003194187616597747,0.0037594664167280695,0.07739622629036295,0.513735906093403
2017-12-18,0.00017924215377073454,0.01561814569050743,0.4845360824742268,0.0003267181868331147,0.0041166136132903325,0.5142486693171223,0.834479607118896
2017-12-19,0.00017204567457035399,0.11044040706337681,0.6391752577319587,0.000229223816202005,0.004360064095088573,0.08255774253724402,0.7051986600117646
