,Estimated,Real,Rightness,square_loss
000607,-0.003084669063179656,-0.021489017926417713,1.0,0.000338720057079772
000665,-0.002594461782836398,0.06557198022515348,-1.0,0.004646663816028647
000676,-0.002225094502031676,0.0013471079934668506,-1.0,1.2760630668845902e-05
000681,0.029968138469982863,0.013807274342800477,1.0,0.00026117352933725053
000719,-0.0018554981679189428,-0.020523037156074966,1.0,0.0003484770118743252
000802,-0.005030075299681779,-0.011212198622654032,1.0,3.8218648780437494e-05
000892,-0.00028788147337742323,-0.024262835530882168,1.0,0.0005747984220594632
000917,0.0034274259882134533,-0.033179580324159984,-1.0,0.0013400729111541488
002027,-0.0017474194645225672,-0.0344280197748466,1.0,0.0010680216366431513
002095,0.008240780945866163,0.06561674298253922,1.0,0.003292001019633748
002123,0.0021651653314347205,0.035610890730990045,1.0,0.00111861654750246
002131,0.0010504373851664237,-0.01961320496003177,-1.0,0.000426986114970268
002174,-0.0007111213700399417,-0.005598415644037576,1.0,2.388564532065006e-05
002181,-0.0019653667290697673,-0.023267305489132355,1.0,0.00045377259493745685
002238,-0.0018265025509233417,0.00534470749788063,-1.0,5.1426253564067053e-05
002247,0.002106665955842162,-0.023464824786592835,-1.0,0.0006539011387904388
002261,-0.00016987782444791394,-0.006069810819622795,1.0,3.480920934755324e-05
002292,-0.0011286274134860838,0.0008001627711901882,-1.0,3.7202315765035274e-06
002315,-0.003317005783257572,0.06567517939956008,-1.0,0.004759921616300203
002343,0.0079681996721931,0.005786457436949652,1.0,4.759999181045079e-06
002354,-0.004053505876095239,0.03184063694157128,-1.0,0.0012883894886150406
002400,-0.004816372413366512,-0.01864892707267696,1.0,0.0001913395684028112
002502,-0.0038881507354728345,-0.00751011937107807,1.0,1.3118656797308052e-05
002555,-0.005447573392079276,0.03292694581020753,-1.0,0.0014726037240066789
002558,0.001823149696538025,0.016216271504746,1.0,0.000207161955385912
002602,0.0030371055041661056,-0.032065349957953564,-1.0,0.0012321823794700947
002624,0.0018979818359832106,-0.0018873439300406206,-1.0,1.4328691154923904e-05
002654,0.0035020973654434785,-0.00421653941230881,-1.0,5.957735370687024e-05
300027,-0.0035994734509585888,-0.0009201663717053957,1.0,7.178686424936277e-06
300043,-0.0019220020396427744,0.004104090316896514,-1.0,3.631378908954123e-05
300052,-0.0009997011730228662,0.0038970334543940582,-1.0,2.3978010011343967e-05
300058,0.00987532188238106,0.01244698022515333,1.0,6.6134266319502175e-06
300059,-0.004295909534866201,0.05180386428312437,-1.0,0.0031471846224297
300104,-0.013637484923210564,-0.013867272111295136,1.0,5.280215180781475e-08
300113,0.009380703440250574,0.025962743990695113,1.0,0.00027496406881658697
300133,0.0065187467277172334,-0.009011022157690105,-1.0,0.00024117372163416585
300148,0.005070609522234723,-0.0010534833100753274,-1.0,3.750451301875133e-05
300226,0.009577504238740394,0.01811492397725844,1.0,7.288753579163752e-05
300242,-0.0009951118069904494,0.008389659783164395,-1.0,8.80739377993775e-05
300251,-0.0019745226130985045,0.017774264075071877,-1.0,0.0003900145756548557
300269,-0.003972910386928912,0.06557198022515329,-1.0,0.004836491810246479
300291,-0.0039413386833372106,0.008781856768363294,-1.0,0.0001618797025021724
300295,-0.003957096977534657,0.06557198022515334,-1.0,0.004834292576657348
300299,0.00909009900334402,-0.0175740871905769,-1.0,0.000710978825384083
300315,0.003081452811418456,0.00858273291332548,1.0,3.026408275963816e-05
300336,-0.0013308819908426125,0.008737447851052724,-1.0,0.00010137126580520016
300343,0.01115711956604855,0.015539107115357192,1.0,1.920181488229596e-05
300359,-0.0013812298516540714,0.012159195826453473,-1.0,0.00018334312754435416
300364,0.01437349540631035,-0.00826285215424151,-1.0,0.0005124042308821021
300418,0.01301349324041203,0.0192267236155112,1.0,3.860423169405496e-05
300426,0.001356553507337307,-0.008975254233975355,-1.0,0.00010674625120344826
300431,0.01398913215807493,0.023736720109546444,1.0,9.501547087167264e-05
300467,-0.0017557764411866847,-0.003614346207200931,1.0,3.4542815751422497e-06
300518,0.006434045182461082,-0.0014546298789730808,-1.0,6.22311942248933e-05
300528,-0.002437327286090617,-0.007355261737621535,1.0,2.4186079269554715e-05
300533,-0.0130959041169633,0.06568321493038143,-1.0,0.0062061495978757136
600088,0.0034328151774446693,-0.0204420057888325,-1.0,0.0005700070761717878
600136,0.006034855141657611,-0.028338709896632806,-1.0,0.0011815419734415816
600158,-0.010805037913031026,-0.016854798017524354,1.0,3.6599597321919127e-05
